Prolynx - Activity Resource and Role Assignments
Activity ID|Activity Name|Resource ID Name|Budgeted Units|Actual Units|Remaining Units|At Completion Units|Budgeted Units / Time|Role|Role ID|" 
27-Jun-21 - 30-Jan-27"|27-Jun-21|04-Jul-21|11-Jul-21|18-Jul-21|25-Jul-21|01-Aug-21|08-Aug-21|15-Aug-21|22-Aug-21|29-Aug-21|05-Sep-21|12-Sep-21|19-Sep-21|26-Sep-21|03-Oct-21|10-Oct-21|17-Oct-21|24-Oct-21|31-Oct-21|07-Nov-21|14-Nov-21|21-Nov-21|28-Nov-21|05-Dec-21|12-Dec-21|19-Dec-21|26-Dec-21|02-Jan-22|09-Jan-22|16-Jan-22|23-Jan-22|30-Jan-22|06-Feb-22|13-Feb-22|20-Feb-22|27-Feb-22|06-Mar-22|13-Mar-22|20-Mar-22|27-Mar-22|03-Apr-22|10-Apr-22|17-Apr-22|24-Apr-22|01-May-22|08-May-22|15-May-22|22-May-22|29-May-22|05-Jun-22|12-Jun-22|19-Jun-22|26-Jun-22|03-Jul-22|10-Jul-22|17-Jul-22|24-Jul-22|31-Jul-22|07-Aug-22|14-Aug-22|21-Aug-22|28-Aug-22|04-Sep-22|11-Sep-22|18-Sep-22|25-Sep-22|02-Oct-22|09-Oct-22|16-Oct-22|23-Oct-22|30-Oct-22|06-Nov-22|13-Nov-22|20-Nov-22|27-Nov-22|04-Dec-22|11-Dec-22|18-Dec-22|25-Dec-22|01-Jan-23|08-Jan-23|15-Jan-23|22-Jan-23|29-Jan-23|05-Feb-23|12-Feb-23|19-Feb-23|26-Feb-23|05-Mar-23|12-Mar-23|19-Mar-23|26-Mar-23|02-Apr-23|09-Apr-23|16-Apr-23|23-Apr-23|30-Apr-23|07-May-23|14-May-23|21-May-23|28-May-23|04-Jun-23|11-Jun-23|18-Jun-23|25-Jun-23|02-Jul-23|09-Jul-23|16-Jul-23|23-Jul-23|30-Jul-23|06-Aug-23|13-Aug-23|20-Aug-23|27-Aug-23|03-Sep-23|10-Sep-23|17-Sep-23|24-Sep-23|01-Oct-23|08-Oct-23|15-Oct-23|22-Oct-23|29-Oct-23|05-Nov-23|12-Nov-23|19-Nov-23|26-Nov-23|03-Dec-23|10-Dec-23|17-Dec-23|24-Dec-23|31-Dec-23|07-Jan-24|14-Jan-24|21-Jan-24|28-Jan-24|04-Feb-24|11-Feb-24|18-Feb-24|25-Feb-24|03-Mar-24|10-Mar-24|17-Mar-24|24-Mar-24|31-Mar-24|07-Apr-24|14-Apr-24|21-Apr-24|28-Apr-24|05-May-24|12-May-24|19-May-24|26-May-24|02-Jun-24|09-Jun-24|16-Jun-24|23-Jun-24|30-Jun-24|07-Jul-24|14-Jul-24|21-Jul-24|28-Jul-24|04-Aug-24|11-Aug-24|18-Aug-24|25-Aug-24|01-Sep-24|08-Sep-24|15-Sep-24|22-Sep-24|29-Sep-24|06-Oct-24|13-Oct-24|20-Oct-24|27-Oct-24|03-Nov-24|10-Nov-24|17-Nov-24|24-Nov-24|01-Dec-24|08-Dec-24|15-Dec-24|22-Dec-24|29-Dec-24|05-Jan-25|12-Jan-25|19-Jan-25|26-Jan-25|02-Feb-25|09-Feb-25|16-Feb-25|23-Feb-25|02-Mar-25|09-Mar-25|16-Mar-25|23-Mar-25|30-Mar-25|06-Apr-25|13-Apr-25|20-Apr-25|27-Apr-25|04-May-25|11-May-25|18-May-25|25-May-25|01-Jun-25|08-Jun-25|15-Jun-25|22-Jun-25|29-Jun-25|06-Jul-25|13-Jul-25|20-Jul-25|27-Jul-25|03-Aug-25|10-Aug-25|17-Aug-25|24-Aug-25|31-Aug-25|07-Sep-25|14-Sep-25|21-Sep-25|28-Sep-25|05-Oct-25|12-Oct-25|19-Oct-25|26-Oct-25|02-Nov-25|09-Nov-25|16-Nov-25|23-Nov-25|30-Nov-25|07-Dec-25|14-Dec-25|21-Dec-25|28-Dec-25|04-Jan-26|11-Jan-26|18-Jan-26|25-Jan-26|01-Feb-26|08-Feb-26|15-Feb-26|22-Feb-26|01-Mar-26|08-Mar-26|15-Mar-26|22-Mar-26|29-Mar-26|05-Apr-26|12-Apr-26|19-Apr-26|26-Apr-26|03-May-26|10-May-26|17-May-26|24-May-26|31-May-26|07-Jun-26|14-Jun-26|21-Jun-26|28-Jun-26|05-Jul-26|12-Jul-26|19-Jul-26|26-Jul-26|02-Aug-26|09-Aug-26|16-Aug-26|23-Aug-26|30-Aug-26|06-Sep-26|13-Sep-26|20-Sep-26|27-Sep-26|04-Oct-26|11-Oct-26|18-Oct-26|25-Oct-26|01-Nov-26|08-Nov-26|15-Nov-26|22-Nov-26|29-Nov-26|06-Dec-26|13-Dec-26|20-Dec-26|27-Dec-26|03-Jan-27|10-Jan-27|17-Jan-27|24-Jan-27
 ||||||||||Remaining Late Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Remaining Early Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Cum Budgeted Units|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|1|2|3|3|4|4|5|6|6|7|8|8|9|9|10|11|11|12|13|13|13|14|14|15|16|16|17|17|18|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19
 ||||||||||Cum Actual Units|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1|1|2|2|2|3|3|4|4|4|5|5|6|6|6|7|7|8|8|8|8|9|9|10|10|10|11|11|12|12|12|13|13|14|14|14|15|15|15|16|16|16|17|17|18|18|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19|19
 ||||||||||Cum Remaining Early Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Cum Remaining Late Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 A1770|HORN YL-1 Detail Design and Engineering|ACT Count.ACT count _EV*5D~ Design|35|35|0|35|0/d|||Budgeted Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Actual Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|0|0|0|0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Remaining Late Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Remaining Early Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Cum Budgeted Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1|2|2|3|3|4|5|5|6|7|7|8|8|9|10|10|11|12|12|12|13|13|14|15|15|16|16|17|18|18|19|20|20|21|21|22|22|23|23|24|25|25|26|27|27|28|28|29|30|30|31|31|32|33|33|34|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35
 ||||||||||Cum Actual Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1|1|1|2|2|3|3|4|4|5|5|5|6|6|7|7|8|8|9|9|9|9|10|10|11|11|12|12|12|13|13|14|14|14|15|15|16|16|16|17|17|18|18|19|19|20|20|20|21|21|22|22|23|23|23|24|24|25|25|26|26|26|27|27|28|28|29|29|29|30|30|30|30|31|31|32|32|32|33|33|34|34|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35|35
 ||||||||||Cum Remaining Early Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Cum Remaining Late Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 A1780|HORN YL-2 Detail Design and Engineering|ACT Count.ACT count _EV*5D~ Design|32|32|0|32|0/d|||Budgeted Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|1|1|1|1|1|1|1|1|1|1|1|1|1||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Actual Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|0|0|0|0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Remaining Late Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Remaining Early Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Cum Budgeted Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|1|2|2|3|4|4|5|6|6|7|7|8|9|9|9|10|10|11|12|12|13|14|14|15|15|16|17|17|18|18|19|19|20|21|21|22|22|23|24|24|25|26|26|27|27|28|29|29|30|30|31|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32
 ||||||||||Cum Actual Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1|1|2|2|3|3|3|4|4|5|5|6|6|6|6|7|7|8|8|9|9|9|10|10|11|11|11|12|12|13|13|13|14|14|15|15|16|16|16|17|17|18|18|19|19|19|20|20|21|21|22|22|22|23|23|24|24|24|25|25|26|26|27|27|27|27|28|28|28|29|29|30|30|30|31|31|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32|32
 ||||||||||Cum Remaining Early Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Cum Remaining Late Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 CO.GLS.BOP.10030|Install HP Compressors (x2)|ACT Count3.ACT count _EV*6D|1|0|1|1|0/d|||Budgeted Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Actual Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Remaining Late Units|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Remaining Early Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Cum Budgeted Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 ||||||||||Cum Actual Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Cum Remaining Early Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 ||||||||||Cum Remaining Late Units|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 CO.GLS.BOP.10030|Install HP Compressors (x2)|GL.Glass Plant|4|0|4|4|1/d|||Budgeted Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2|2|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Actual Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Remaining Late Units|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Remaining Early Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2|2|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Cum Budgeted Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4
 ||||||||||Cum Actual Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Cum Remaining Early Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4
 ||||||||||Cum Remaining Late Units|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4
 CO.GLS.BOP.10040|Install LP Compressors (x4)|ACT Count3.ACT count _EV*6D|1|0|1|1|0/d|||Budgeted Units|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Actual Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Remaining Late Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Remaining Early Units|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Cum Budgeted Units|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 ||||||||||Cum Actual Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
 ||||||||||Cum Remaining Early Units|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
 ||||||||||Cum Remaining Late Units||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
